City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Saskylakh,RU,2022-01-24 03:09:42,71.9167,114.0833,-22.07,100,100,4.23
68,Dunedin,NZ,2022-01-24 03:09:43,-45.8742,170.5036,56.8,92,95,4.0
69,Boa Vista,BR,2022-01-24 03:09:43,2.8197,-60.6733,82.38,61,20,10.36
70,Tura,IN,2022-01-24 03:09:44,25.5198,90.2201,62.15,57,100,3.4
71,Codo,BR,2022-01-24 03:09:44,-4.4553,-43.8856,72.46,97,100,3.2
72,Abu Samrah,SY,2022-01-24 03:09:45,35.3029,37.1841,39.0,91,50,10.02
73,Vardo,NO,2022-01-24 03:09:45,70.3705,31.1107,40.41,83,100,44.31
74,Jamestown,US,2022-01-24 03:08:40,42.097,-79.2353,15.71,92,100,4.61
75,Dali,CN,2022-01-24 03:09:46,25.7,100.1833,45.39,73,66,4.94
76,Urubamba,PE,2022-01-24 03:09:46,-13.3047,-72.1158,52.7,86,91,3.38
77,Tuktoyaktuk,CA,2022-01-24 03:09:47,69.4541,-133.0374,1.56,97,95,7.49
78,Chiang Klang,TH,2022-01-24 03:09:47,19.2938,100.8617,74.44,46,0,1.48
79,Iqaluit,CA,2022-01-24 03:09:47,63.7506,-68.5145,-11.31,76,100,5.01
80,Cabo San Lucas,MX,2022-01-24 03:05:31,22.8909,-109.9124,69.51,73,100,0.0
81,Tongzi,CN,2022-01-24 03:09:48,28.7829,105.0877,48.63,87,100,2.46
82,Weymouth,US,2022-01-24 03:09:48,42.2209,-70.9398,32.05,62,100,1.99
83,Kasangulu,CD,2022-01-24 03:09:49,-4.5911,15.1708,70.77,87,53,2.37
84,Gawler,AU,2022-01-24 03:09:49,-34.6,138.7333,84.9,57,92,13.71
85,Nishihara,JP,2022-01-24 03:09:50,26.1842,127.7558,71.26,78,75,13.8
86,Liuli,TZ,2022-01-24 03:09:50,-11.0833,34.6333,73.92,82,100,3.53
87,Rio Grande,BR,2022-01-24 03:09:51,-32.035,-52.0986,78.91,92,84,7.05
88,Whitehorse,CA,2022-01-24 03:09:51,60.7161,-135.0538,14.32,95,48,4.32
89,Blackwater,AU,2022-01-24 03:09:51,-23.5833,148.8833,90.46,35,88,8.23
90,Rikitea,PF,2022-01-24 03:09:52,-23.1203,-134.9692,78.35,71,100,15.5
91,Rawson,AR,2022-01-24 03:09:52,-43.3002,-65.1023,69.71,37,31,18.77
92,Westport,US,2022-01-24 03:09:53,41.1415,-73.3579,32.32,89,100,3.0
93,Kamenka,RU,2022-01-24 03:09:53,51.3223,42.7678,15.75,88,100,13.04
94,Xaltianguis,MX,2022-01-24 03:09:54,17.0667,-99.8333,74.71,68,0,3.8
95,East London,ZA,2022-01-24 03:10:54,-33.0153,27.9116,69.66,74,0,11.97
96,Macusani,PE,2022-01-24 03:10:54,-14.0833,-70.4333,40.46,85,100,4.92
97,Eydhafushi,MV,2022-01-24 03:10:55,5.1033,73.0708,81.27,60,100,9.95
98,Kieta,PG,2022-01-24 03:10:55,-6.2167,155.6333,86.74,67,100,8.61
99,Makakilo City,US,2022-01-24 03:10:56,21.3469,-158.0858,79.12,56,20,8.05
100,Sladkovo,RU,2022-01-24 03:10:56,55.5284,70.3385,-10.82,100,70,5.3
101,Eyl,SO,2022-01-24 03:10:57,7.9803,49.8164,70.79,78,69,12.66
102,La Asuncion,VE,2022-01-24 03:10:57,11.0333,-63.8628,76.05,79,3,14.81
103,Namatanai,PG,2022-01-24 03:10:58,-3.6667,152.4333,84.9,69,92,6.38
104,Sao Filipe,CV,2022-01-24 03:10:58,14.8961,-24.4956,74.34,70,100,15.26
105,Minggang,CN,2022-01-24 03:10:59,32.4586,114.0486,33.49,98,98,8.61
106,Barrow,US,2022-01-24 03:10:59,71.2906,-156.7887,-2.18,78,0,8.05
107,Salur,IN,2022-01-24 03:11:00,18.5333,83.2167,74.55,58,17,2.44
108,San Nicolas Guadalupe,MX,2022-01-24 03:11:00,19.6125,-100.0333,49.78,70,26,3.89
109,Gasa,PS,2022-01-24 03:11:00,31.5,34.4667,49.98,67,62,19.57
110,Vila Velha,BR,2022-01-24 03:08:09,-20.3297,-40.2925,76.44,89,40,4.61
111,Bambous Virieux,MU,2022-01-24 03:11:01,-20.3428,57.7575,83.21,75,9,7.63
112,Vaini,TO,2022-01-24 03:11:01,-21.2,-175.2,87.96,84,40,6.91
113,Saldanha,ZA,2022-01-24 03:06:36,-33.0117,17.9442,66.97,89,95,9.57
114,Norman Wells,CA,2022-01-24 03:05:06,65.282,-126.8329,10.53,96,100,4.54
115,Airai,TL,2022-01-24 03:11:02,-8.9266,125.4092,74.95,60,95,4.16
116,Vitoria Da Conquista,BR,2022-01-24 03:11:03,-14.8661,-40.8394,62.31,96,4,3.67
117,New Norfolk,AU,2022-01-24 03:11:03,-42.7826,147.0587,81.91,39,100,4.0
118,Russell,US,2022-01-24 03:11:04,32.3502,-85.1999,38.8,82,0,0.0
119,Pathein,MM,2022-01-24 03:08:06,16.7833,94.7333,78.71,53,26,2.48
120,Marawi,PH,2022-01-24 03:11:05,7.9986,124.2928,70.65,89,100,4.23
121,Lagoa,PT,2022-01-24 03:11:05,39.05,-27.9833,59.0,63,3,8.12
122,Bereda,ES,2022-01-24 03:11:06,43.2686,-7.5406,34.41,100,0,1.59
123,Berezovyy,RU,2022-01-24 03:11:06,51.6667,135.7,7.81,79,4,2.39
124,Lashio,MM,2022-01-24 03:08:06,22.9333,97.75,62.6,54,6,0.98
125,Mikhaylovka,RU,2022-01-24 03:11:07,50.06,43.2379,13.78,89,100,13.53
126,Mamakan,RU,2022-01-24 03:11:07,57.8161,114.0028,-15.75,98,90,0.81
127,Ostrovnoy,RU,2022-01-24 03:11:08,68.0531,39.5131,34.3,94,100,33.49
128,Yulara,AU,2022-01-24 03:11:08,-25.2406,130.9889,90.61,26,0,1.19
129,Skowhegan,US,2022-01-24 03:11:09,44.7651,-69.7192,21.74,80,100,4.34
130,Indaparapeo,MX,2022-01-24 03:11:09,19.7833,-100.9667,61.48,51,75,5.75
131,Pevek,RU,2022-01-24 03:11:10,69.7008,170.3133,-11.6,96,100,19.75
132,Taylor,US,2022-01-24 03:11:10,32.3001,-99.8337,50.94,59,0,3.0
133,Pangnirtung,CA,2022-01-24 03:11:11,66.1451,-65.7125,-0.69,78,100,5.1
134,Mariental,NA,2022-01-24 03:11:11,-24.6333,17.9667,70.05,49,70,7.61
135,Mosquera,CO,2022-01-24 03:06:46,4.7059,-74.2302,57.29,88,75,3.44
136,Auka,HN,2022-01-24 03:11:12,14.9333,-83.8333,70.84,96,0,3.22
137,Bethel,US,2022-01-24 03:12:13,41.3712,-73.414,31.05,86,100,0.0
138,Jumla,NP,2022-01-24 03:12:13,29.2747,82.1838,34.02,89,100,4.05
139,Labuhan,ID,2022-01-24 03:12:13,-6.8844,112.2051,83.82,75,99,7.92
140,Constitucion,CL,2022-01-24 03:12:14,-35.3333,-72.4167,57.24,86,0,13.87
141,Qaanaaq,GL,2022-01-24 03:12:14,77.484,-69.3632,-3.96,79,100,3.98
142,Hasaki,JP,2022-01-24 03:08:33,35.7333,140.8333,50.29,55,100,26.55
143,Rosetta,EG,2022-01-24 03:12:15,31.4044,30.4164,51.57,63,100,12.06
144,Ulaangom,MN,2022-01-24 03:12:16,49.9811,92.0667,-12.01,83,71,3.06
145,Hay River,CA,2022-01-24 03:12:16,60.8156,-115.7999,-11.22,84,40,4.61
146,Mackay,AU,2022-01-24 03:12:17,-21.15,149.2,89.69,61,100,10.38
147,Cao Bang,VN,2022-01-24 03:12:17,22.6667,106.25,67.28,90,99,3.02
148,Balkanabat,TM,2022-01-24 03:12:17,39.5108,54.3671,40.5,42,0,7.52
149,Nioaque,BR,2022-01-24 03:12:18,-21.1353,-55.83,81.84,58,41,3.76
150,Sola,VU,2022-01-24 03:12:18,-13.8833,167.55,84.36,73,100,13.22
151,Hede,CN,2022-01-24 03:12:19,33.7681,120.2517,40.53,62,91,7.9
152,Tulum,MX,2022-01-24 03:12:19,20.2167,-87.4667,73.92,94,11,6.64
153,Thai Nguyen,VN,2022-01-24 03:12:20,21.5928,105.8442,71.38,88,100,2.8
154,Katsuura,JP,2022-01-24 03:12:20,35.1333,140.3,51.19,60,100,21.0
155,Husavik,IS,2022-01-24 03:12:20,66.0449,-17.3389,24.71,75,64,11.77
156,Mongo,TD,2022-01-24 03:12:21,12.1844,18.693,64.74,13,0,5.93
157,East Wenatchee Bench,US,2022-01-24 03:12:21,47.4257,-120.2812,33.33,89,100,1.01
158,Port Lincoln,AU,2022-01-24 03:12:22,-34.7333,135.8667,75.13,76,24,5.64
159,Avera,US,2022-01-24 03:12:22,33.194,-82.5271,46.27,67,60,8.61
160,Souillac,MU,2022-01-24 03:12:23,-20.5167,57.5167,83.35,94,40,0.0
161,Bandrele,YT,2022-01-24 03:07:26,-12.9067,45.1914,82.15,78,75,23.02
162,Grindavik,IS,2022-01-24 03:12:23,63.8424,-22.4338,34.27,80,75,20.71
163,Gat,IL,2022-01-24 03:08:04,31.61,34.7642,49.41,100,51,14.32
164,Ilulissat,GL,2022-01-24 03:12:24,69.2167,-51.1,15.82,45,100,24.16
165,Klaksvik,FO,2022-01-24 03:12:24,62.2266,-6.589,40.12,65,89,31.21
166,Valleyview,CA,2022-01-24 03:12:25,55.0667,-117.2859,35.64,93,100,6.91
167,Kozhanka,UA,2022-01-24 03:12:25,49.9793,29.7381,17.26,97,100,10.42
168,Vila Franca Do Campo,PT,2022-01-24 03:12:26,37.7167,-25.4333,60.19,72,8,5.35
169,Necochea,AR,2022-01-24 03:12:26,-38.5473,-58.7368,63.03,52,0,10.4
170,Noumea,NC,2022-01-24 03:12:26,-22.2763,166.4572,84.18,99,41,8.7
171,Benguela,AO,2022-01-24 03:06:44,-12.5763,13.4055,75.38,76,82,2.77
172,Williams Lake,CA,2022-01-24 03:12:27,52.1415,-122.1445,29.77,74,20,0.0
173,Chokurdakh,RU,2022-01-24 03:12:27,70.6333,147.9167,-20.29,100,98,6.31
174,Mehamn,NO,2022-01-24 03:12:28,71.0357,27.8492,37.15,90,100,40.98
175,Grants,US,2022-01-24 03:12:28,35.1473,-107.8514,28.63,64,0,0.0
176,Barma,SL,2022-01-24 03:12:29,8.35,-11.3333,63.97,55,3,1.59
177,Kailua,US,2022-01-24 03:12:29,21.4022,-157.7394,80.58,76,40,10.36
178,Zamosc,PL,2022-01-24 03:08:50,50.7231,23.252,15.64,98,69,0.34
179,Isangel,VU,2022-01-24 03:06:32,-19.55,169.2667,84.56,74,46,4.23
180,Castro,BR,2022-01-24 03:12:30,-24.7911,-50.0119,64.94,95,60,2.51
181,Narsaq,GL,2022-01-24 03:12:30,60.9167,-46.05,23.22,72,100,6.53
182,Botwood,CA,2022-01-24 03:12:31,49.1499,-55.3482,20.68,80,45,7.72
183,Ozinki,RU,2022-01-24 03:12:31,51.1786,49.6769,14.79,91,100,10.56
184,Bastrop,US,2022-01-24 03:12:32,32.7562,-91.8724,44.28,62,0,6.06
185,Bogorodskoye,RU,2022-01-24 03:13:32,56.55,37.8833,-0.9,100,100,3.94
186,Havre-Saint-Pierre,CA,2022-01-24 03:13:33,50.2334,-63.5986,19.99,92,100,11.5
187,Alta Floresta,BR,2022-01-24 03:13:33,-9.8756,-56.0861,70.45,98,58,3.65
188,Mahebourg,MU,2022-01-24 03:13:34,-20.4081,57.7,83.25,94,40,0.0
189,Lai,TD,2022-01-24 03:13:34,9.3952,16.2989,67.14,23,4,5.35
190,Chardara,KZ,2022-01-24 03:13:35,41.2547,67.9692,32.9,76,3,5.64
191,Imatra,FI,2022-01-24 03:13:35,61.1719,28.7524,32.38,96,100,1.01
192,Bluff,NZ,2022-01-24 03:13:35,-46.6,168.3333,65.8,61,13,7.85
193,Portland,US,2022-01-24 03:10:56,45.5234,-122.6762,46.06,85,20,3.0
194,Port Hardy,CA,2022-01-24 03:13:36,50.6996,-127.4199,41.76,100,75,6.91
195,Nome,US,2022-01-24 03:13:37,64.5011,-165.4064,8.67,67,0,11.5
