City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
210,Ponta Do Sol,PT,64.71,clear sky,32.6667,-17.1,Hotel do Campo
220,Ocampo,MX,69.28,clear sky,21.65,-101.5,Hotel Estancia del Vaquero
221,Airai,TL,60.82,overcast clouds,-8.9266,125.4092,
232,Nouadhibou,MR,67.98,clear sky,20.931,-17.0347,El Medina
233,Mount Gambier,AU,59.36,clear sky,-37.8333,140.7667,The Commodore
242,Ajdabiya,LY,58.37,overcast clouds,30.7554,20.2263,Almadina Hotel
243,Guerrero Negro,MX,66.49,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
245,Saldanha,ZA,63.9,scattered clouds,-33.0117,17.9442,Blue Bay Lodge
248,Greymouth,NZ,54.45,overcast clouds,-42.4667,171.2,Kingsgate Hotel Greymouth
254,Tambopata,PE,69.69,heavy intensity rain,-12.7333,-69.1833,
256,Shelbyville,US,51.46,clear sky,35.4834,-86.4603,Best Western Shelbyville Inn And Suites Celebration Inn
261,Richards Bay,ZA,72.01,moderate rain,-28.783,32.0377,BON Hotel Waterfront Richards Bay
262,Itoman,JP,59.02,broken clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
263,Calbuco,CL,70.81,few clouds,-41.768,-73.1273,Hotel Colonial
266,Lukang,TW,61.43,clear sky,24.0567,120.4352,二鹿行館 Lu Kang Bed and Breakbast
269,Shadegan,IR,57.11,clear sky,30.6497,48.6647,مسافر خانه ابو ولید
278,Geraldton,AU,70.21,overcast clouds,-28.7667,114.6,Broadwater Mariner Resort
282,Byron Bay,AU,66.87,light rain,-28.65,153.6167,Backpackers Inn
285,San Quintin,MX,64.2,clear sky,30.4833,-115.95,Don Eddie's Landing
286,Half Moon Bay,US,66.07,clear sky,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
287,Basco,PH,72.97,overcast clouds,20.4487,121.9702,Nathaniel's Lodge
288,Asfi,MA,60.31,few clouds,32.2994,-9.2372,Hôtel Abda
300,Necochea,AR,64.04,overcast clouds,-38.5473,-58.7368,dyd -mar Hotel
302,Lithakia,GR,56.59,scattered clouds,37.7167,20.8333,Zante Plaza Hotel & Apartments
303,Estelle,US,57.06,clear sky,29.8458,-90.1067,Boomtown Casino & Hotel New Orleans
304,Rocha,UY,71.35,clear sky,-34.4833,-54.3333,Hotel Arrarte
305,Nalut,LY,61.83,overcast clouds,30.3333,10.85,
306,Rosetta,EG,56.79,clear sky,31.4044,30.4164,Green Valley
307,Merritt Island,US,72.01,overcast clouds,28.5392,-80.672,
309,Ribeira Brava,PT,64.71,clear sky,32.65,-17.0667,Hotel do Campo
311,Ginir,ET,61.03,broken clouds,7.1333,40.7,Sura Dare Village
314,Mercedes,AR,73.78,broken clouds,-34.6515,-59.4307,Posada del Inti Centro
321,Warrnambool,AU,59.81,clear sky,-38.3833,142.4833,Lady Bay Resort
338,Nishihara,JP,58.28,broken clouds,26.1842,127.7558,Minshuku Agaihama
349,Broken Hill,AU,70.09,clear sky,-31.95,141.4333,Royal Exchange Hotel
350,Ishigaki,JP,65.41,overcast clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
356,Saurimo,AO,66.25,scattered clouds,-9.6608,20.3916,Hotel Kawissa Saurimo
359,Palafrugell,ES,52.36,broken clouds,41.9174,3.1631,Hotel La Torre
362,Barranca,PE,74.3,overcast clouds,-10.75,-77.7667,El Olivar Hospedaje
363,Swan Hill,AU,65.88,clear sky,-35.3378,143.5544,Lazy River Motor Inn
364,Bahia Blanca,AR,70.92,clear sky,-38.7196,-62.2724,Hotel Argos
366,Killin,US,50.09,clear sky,33.6123,-91.7412,US Forestry Department
369,Dhaka,BD,64.38,haze,23.7104,90.4074,Main Hostel SSMC
378,Hualmay,PE,74.75,broken clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
387,Coquimbo,CL,69.53,broken clouds,-29.9533,-71.3436,Hostel Del Puerto
388,Athens,GR,54.91,few clouds,37.9795,23.7162,Novotel Athenes
389,Sepuka,TZ,63.59,light rain,-4.75,34.5333,
394,Dilla,ET,69.69,overcast clouds,6.41,38.31,Afomiya Pension
395,Pital,CO,73.83,overcast clouds,2.2665,-75.8044,Finca el Rebaño Vida el Uvital
396,Tetouan,MA,59.88,broken clouds,35.5711,-5.3724,Athens Hôtel
398,Carbonia,IT,52.45,clear sky,39.1672,8.5222,Lu 'Hotel
403,Esperance,AU,63.19,overcast clouds,-33.8667,121.9,Hospitality Esperance
408,Holalkere,IN,71.08,overcast clouds,14.0333,76.1833,Hotel Sneha Comforts
411,Mundo Nuevo,MX,66.78,scattered clouds,18.7,-95.5,
412,Salinas,US,66.0,clear sky,36.6777,-121.6555,Laurel Inn & Conference Center
414,Moguer,ES,61.72,clear sky,37.2756,-6.8385,Hotel Plaza Escribano
419,Sayyan,YE,54.28,broken clouds,15.1718,44.3244,ملاطف ابوحورية
425,San Jeronimo,PE,51.46,overcast clouds,-11.9472,-75.2829,Tuki Llajta Pueblo Bonito Eco Lodge
433,Syracuse,IT,55.89,overcast clouds,37.0881,15.2792,Hotel Posta
437,Lompoc,US,74.57,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
440,Mandurah,AU,66.22,overcast clouds,-32.55,115.7,Atrium Hotel Mandurah
444,Tura,IN,51.69,clear sky,25.5198,90.2201,Hotel RIKMAN Continental
446,Uong Bi,VN,58.98,overcast clouds,21.0333,106.7833,khach san Trung lien
449,Lalmohan,BD,63.34,overcast clouds,22.3384,90.7419,Sundorbon courier service
457,Jackson,US,58.14,clear sky,42.4165,-122.8345,Agate Village Apartments
462,Rocky Mountain House,CA,51.55,overcast clouds,52.3668,-114.9188,Walking Eagle Inn & Lodge
464,Goure,NE,67.1,clear sky,13.9835,10.2704,
466,Kasongo,CD,69.1,heavy intensity rain,-4.45,26.6667,Guest Hôtel
468,Asyut,EG,55.58,clear sky,27.181,31.1837,فندق ميس إيجيبت Miss Egypt Hotel
470,Kulachi,PK,56.55,clear sky,31.9286,70.4592,Technical Zafran Mobile Zon kulachi
473,Thongwa,MM,73.56,few clouds,16.7619,96.5278,Mhaw Wun Marlar Park
475,Bure,ET,61.03,clear sky,10.7,37.0667,Holiday
481,Wau,SS,74.46,scattered clouds,7.7029,27.9953,Universal Gab Hotel
483,Dingle,PH,73.38,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
484,Sawakin,SD,70.95,clear sky,19.1059,37.3321,فندق الدويم
485,Morro Bay,US,72.99,clear sky,35.3658,-120.8499,Inn at Morro Bay
488,Biltine,TD,70.56,overcast clouds,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
493,San Jose,US,66.49,clear sky,37.3394,-121.895,The Westin San Jose
494,Bosaso,SO,74.08,overcast clouds,11.2842,49.1816,Red Sea Hotel
497,Devarkonda,IN,68.92,scattered clouds,16.7,78.9333,Home
500,Tamuin,MX,67.68,clear sky,21.9833,-98.75,Hotel Tamuin
501,Teknaf,BD,59.27,overcast clouds,20.8624,92.3058,Forestry Guesthouse
505,Perth,AU,66.2,scattered clouds,-31.9333,115.8333,Beatty Lodge
516,Bela,IN,51.94,clear sky,25.9333,81.9833,Raj Bhawan
521,Sampit,ID,73.65,overcast clouds,-2.5333,112.95,Aquarius Boutique Hotel Sampit
525,Vicksburg,US,57.56,clear sky,32.3526,-90.8779,La Quinta Inn & Suites by Wyndham Vicksburg
529,Awjilah,LY,60.94,clear sky,29.1081,21.2869,
531,Buenos Aires,AR,72.93,broken clouds,-34.6132,-58.3772,Hotel NH Buenos Aires City
532,Birao,CF,69.57,scattered clouds,10.2849,22.7882,
537,Port Macquarie,AU,63.9,broken clouds,-31.4333,152.9167,Rydges Port Macquarie
540,Boa Esperanca,BR,73.26,overcast clouds,-21.09,-45.5658,Hotel do Lago
542,Matay,EG,57.07,clear sky,28.419,30.7792,Nag Aespen
545,Popondetta,PG,74.23,light rain,-8.7537,148.2534,Timos Transit House
546,Arlit,NE,68.68,clear sky,18.7369,7.3853,Case de Passage De la Prefecture
548,Los Llanos De Aridane,ES,64.15,scattered clouds,28.6585,-17.9182,Valle Aridane
553,Navalmoral De La Mata,ES,51.96,clear sky,39.8916,-5.5406,Hotel Moya S A
556,Sualkuchi,IN,53.58,mist,26.17,91.5709,Silk Route Spa & Resort
557,Montepuez,MZ,69.51,moderate rain,-13.1256,38.9997,PembaAparthotel
558,Marzuq,YE,65.86,overcast clouds,14.4,46.4667,
563,Chaibasa,IN,59.52,overcast clouds,22.5667,85.8167,Capital O 64608 Hotel Shifa Manor
568,Buta,CD,73.87,scattered clouds,2.7858,24.73,HOTEL BISO NA BISO
571,Emerald,AU,69.94,broken clouds,-23.5333,148.1667,The Irish Village
574,Fernandina Beach,US,51.89,overcast clouds,30.6697,-81.4626,Hampton Inn Amelia Island at Fernandina Beach
582,Batemans Bay,AU,63.1,broken clouds,-35.7167,150.1833,Batemans Bay Marina Resort
583,Waipawa,NZ,57.83,overcast clouds,-41.4122,175.5153,Tora Coastal Walk
584,Vila Franca Do Campo,PT,63.19,broken clouds,37.7167,-25.4333,Pestana Bahia Praia
587,Muros,ES,52.84,scattered clouds,42.7762,-9.0603,Apartment Av. Castelao
609,Mwene-Ditu,CD,64.6,overcast clouds,-7.0,23.45,Hôtel Kamas
614,Chipinge,ZW,64.02,light rain,-20.1883,32.6236,Chipinge Breeze Lodge
618,Laguna,US,66.02,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
619,Amapa,BR,73.02,overcast clouds,1.0,-52.0,
621,Coromandel,BR,67.66,overcast clouds,-18.4733,-47.2003,Hotel Dona Adélia
622,Kiama,AU,64.38,light rain,-34.6833,150.8667,The Sebel Kiama Harbourside
626,Sunbury,AU,61.84,clear sky,-37.5833,144.7333,Sunbury Motor Inn
630,Abomsa,ET,70.86,few clouds,9.9833,39.9833,
631,Brownwood,US,56.52,clear sky,31.7093,-98.9912,La Quinta Inn & Suites by Wyndham Brownwood
633,Iquique,CL,71.64,few clouds,-20.2208,-70.1431,Backpacker`s Hostel Iquique
637,Gijon,ES,51.8,overcast clouds,43.5357,-5.6615,Miramar
641,Methoni,GR,58.21,overcast clouds,36.8197,21.7049,Methoni Beach Hotel
647,Vila Do Maio,CV,74.19,clear sky,15.1333,-23.2167,Hotel Marilu
657,Flinders,AU,66.79,light rain,-34.5833,150.8552,Shellharbour Resort & Conference Centre
662,Pithora,IN,60.04,clear sky,21.2667,82.5167,"Government Scheduled Caste Boys Hostel, Pithora"
665,Lata,PT,52.81,few clouds,40.1629,-8.3327,Casa Maquia
666,Alameda,US,65.53,clear sky,37.5999,-121.8844,
